Size,Density,MatrixTime(ms),ListTime(ms)
20,0.1,0.32,0.17
20,0.3,0.09,0.04
20,0.5,0.13,0.05
20,0.7,0.12,0.07
20,0.9,0.13,0.08
40,0.1,0.19,0.09
40,0.3,0.38,0.20
40,0.5,0.48,0.22
40,0.7,0.55,0.36
40,0.9,0.50,0.32
60,0.1,0.42,0.17
60,0.3,0.74,0.37
60,0.5,1.10,0.48
60,0.7,1.11,0.60
60,0.9,1.53,0.92
80,0.1,0.88,0.33
80,0.3,1.84,0.63
80,0.5,1.86,0.85
80,0.7,2.10,1.08
80,0.9,2.69,1.73
100,0.1,1.38,0.52
100,0.3,2.30,1.11
100,0.5,3.37,1.78
100,0.7,3.81,2.08
100,0.9,4.31,2.14
120,0.1,2.22,0.61
120,0.3,3.14,1.25
120,0.5,4.30,1.92
120,0.7,5.74,2.92
120,0.9,7.81,3.52
140,0.1,2.46,0.75
140,0.3,4.44,1.84
140,0.5,7.89,2.88
140,0.7,7.84,3.89
140,0.9,11.23,5.05
160,0.1,3.01,1.01
160,0.3,6.69,2.34
160,0.5,9.57,3.80
160,0.7,12.87,5.33
160,0.9,15.64,6.60
180,0.1,4.44,1.35
180,0.3,8.14,2.96
180,0.5,11.40,4.96
180,0.7,17.08,6.79
180,0.9,19.87,8.50
200,0.1,5.22,1.59
200,0.3,10.54,3.56
200,0.5,16.05,6.27
200,0.7,22.08,7.95
200,0.9,28.18,11.90
